2022-08-21 10:59:54.173  INFO [,,] 3864 --- [restartedMain] c.c.PensionManagementPortalApplication   : Starting PensionManagementPortalApplication using Java 15.0.2 on LAPTOP-PDMVOPJG with PID 3864 (C:\Users\hp\Desktop\PensionManagementSystem-master\Pension-Management-portal\target\classes started by hp in C:\Users\hp\Desktop\PensionManagementSystem-master\Pension-Management-portal)
2022-08-21 10:59:54.512  INFO [,,] 3864 --- [restartedMain] c.c.PensionManagementPortalApplication   : No active profile set, falling back to default profiles: default
2022-08-21 10:59:54.977  INFO [,,] 3864 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-08-21 10:59:54.984  INFO [,,] 3864 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-08-21 11:00:02.368  INFO [,,] 3864 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-08-21 11:00:02.432  INFO [,,] 3864 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 24 ms. Found 0 JPA repository interfaces.
2022-08-21 11:00:06.210  INFO [,,] 3864 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=9bfdb010-1187-3da3-9529-53268d101656
2022-08-21 11:00:16.503  INFO [,,] 3864 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9093 (http)
2022-08-21 11:00:16.636  INFO [,,] 3864 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-08-21 11:00:16.638  INFO [,,] 3864 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-08-21 11:00:17.973  INFO [,,] 3864 --- [restartedMain] o.a.c.c.C.[.[localhost].[/management]    : Initializing Spring embedded WebApplicationContext
2022-08-21 11:00:17.974  INFO [,,] 3864 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 22987 ms
2022-08-21 11:00:18.859  INFO [,,] 3864 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-08-21 11:00:19.758  INFO [,,] 3864 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-08-21 11:00:19.784  INFO [,,] 3864 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:8962b007-5db6-4330-a1d4-137c8d6816ce'
2022-08-21 11:00:21.595  INFO [,,] 3864 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-08-21 11:00:25.568  INFO [,,] 3864 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-08-21 11:00:25.723  INFO [,,] 3864 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-08-21 11:00:27.529  INFO [,,] 3864 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-08-21 11:00:28.849  INFO [,,] 3864 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-08-21 11:00:28.904  INFO [,,] 3864 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-08-21 11:00:29.199  INFO [,,] 3864 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2022-08-21 11:00:34.238  WARN [,,] 3864 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-08-21 11:00:46.240  INFO [,,] 3864 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9093 (http) with context path '/management'
2022-08-21 11:00:46.532  INFO [,,] 3864 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-08-21 11:00:46.573  INFO [,,] 3864 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-08-21 11:00:46.600  INFO [,,] 3864 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-08-21 11:00:46.908  INFO [,,] 3864 --- [restartedMain] c.c.PensionManagementPortalApplication   : Started PensionManagementPortalApplication in 57.814 seconds (JVM running for 62.745)
2022-08-21 11:08:22.354  INFO [,,] 3864 --- [http-nio-9093-exec-1] o.a.c.c.C.[.[localhost].[/management]    : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-08-21 11:08:22.355  INFO [,,] 3864 --- [http-nio-9093-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-08-21 11:08:22.357  INFO [,,] 3864 --- [http-nio-9093-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2022-08-21 11:08:22.594  INFO [,9feb6c8b3e3cf206,9feb6c8b3e3cf206] 3864 --- [http-nio-9093-exec-2] c.c.controller.PensionController         : STARTED - allDetail
2022-08-21 11:08:24.063  INFO [,9feb6c8b3e3cf206,9feb6c8b3e3cf206] 3864 --- [http-nio-9093-exec-2] c.c.controller.PensionController         : END - allDetail
2022-08-21 11:09:10.225  INFO [,b9340c0fe73753d6,b9340c0fe73753d6] 3864 --- [http-nio-9093-exec-5] c.c.controller.PensionController         : STARTED - getPensionDetail
2022-08-21 11:09:11.054  INFO [,b9340c0fe73753d6,b9340c0fe73753d6] 3864 --- [http-nio-9093-exec-5] c.c.controller.PensionController         : END - getPensionDetail
